sample_index,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,raw_tokens,effective_token_ids,last_non_special_token,ending_motif,parenthesis_balance,bracket_balance,unmatched_ring_digits,unmatched_ring_count,max_parenthesis_depth,max_bracket_depth,canonical_smiles,is_valid_rdkit,is_unique_among_valid,valid_occurrences,is_novel_vs_reference,invalid_reason,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,qed_score,sa_score,passes_lipinski,clinical_score,scorer_recommendation,is_novel_scorer_flag,filter_status,filter_reason,research_status,validation_status
345,CC(=O)Oc1cccnc1C(=O)NC,22,0,23.0,,<eos>,eos,<bos> C C ( = O ) O c 1 c c c n c 1 C ( = O ) N C <eos> C <eos> C <eos> c <eos> C <eos> 1 c 1 <eos> 1 c 1 <eos> <eos> O <eos> C <eos> O <eos> 1 ( = O C O ) C ( C N C ) C c [ C C 2 ] c C C O C [ C ] 2 1 C 1 C 2 H [ C C ( C O C 1 C 1 2 O N 1 C ] ) O 1 # [ r H 4 l o C H F O C F = N ] 4 - l,15 15 5 13 19 6 19 23 8 23 23 23 25 23 8 15 5 13 19 6 18 15,C,O)NC,0,0,,0,1,0,CNC(=O)c1ncccc1OC(C)=O,True,True,1,True,,194.19,0.366,68.29,1.0,4.0,2.0,0.6903,2.1146,True,0.9216,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
840,O=C(O)C(=O)C1COc1C1cCcC1,24,0,25.0,,<eos>,eos,<bos> O = C ( O ) C ( = O ) C 1 C O c 1 C 1 c C c C 1 <eos> C C <eos> 2 C C 1 1 c 2 <eos> C 1 1 <eos> <eos> <eos> O c <eos> 1 C O 1 O c c <eos> C <eos> c C 2 C 1 C c c C C C 1 1 c O 1 C O C C ( C O ) O 3 C C C ( C ) H 1 2 1 2 [ N ] C 2 = O 1 r F = - = O 1 N 5 o H n s H O r 5 l 3,19 13 15 5 19 6 15 5 13 19 6 15 8 15 19 23 8 15 8 23 15 23 15 8,1,CcC1,0,0,,0,1,0,O=C(O)C(=O)C1COC1C1CCCC1,True,True,1,True,,198.22,0.845,63.6,1.0,3.0,3.0,0.6825,3.5741,True,0.9206,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
457,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,31,0,32.0,,<eos>,eos,<bos> C c 1 n n c ( N S ( = O ) ( = O ) c 2 c c c ( N ) c c 2 ) s 1 <eos> N C N C 1 C 2 c O C c c c 1 c c c n c 1 c n c 2 C c 1 <eos> <eos> C <eos> <eos> <eos> 1 C 1 <eos> <eos> <eos> O O <eos> <eos> C C 1 = O 3 C C C ( C O ) O ( C ( = O ) C O ) O 1 r 1 F # n O 1 S 1 l F C B - H C # F #,15 23 8 25 25 23 5 18 20 5 13 19 6 5 13 19 6 23 9 23 23 23 5 18 6 23 23 9 6 28 8,1,2)s1,0,0,,0,2,0,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,True,False,2,False,,270.34,1.23,97.97,2.0,6.0,3.0,0.8173,2.1065,True,0.9144,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
276,Cn1C(=O)CC(c2ccccn2)C(=O)CcCcC1,31,0,32.0,,<eos>,eos,<bos> C n 1 C ( = O ) C C ( c 2 c c c c n 2 ) C ( = O ) C c C c C 1 <eos> c 1 C c 1 <eos> c <eos> <eos> <eos> C C O 1 O 2 c 2 ( c O C 1 ) c <eos> - c c 1 c c ( F ) c c 1 <eos> <eos> C O C O <eos> 1 C 2 C ( C ) ( C ) C [ C C ( ] O ) C O S O 1 # s N s r B F 4 c [ F N S ] H n 4 2 <eos>,15 25 8 15 5 13 19 6 15 15 5 23 9 23 23 23 23 25 9 6 15 5 13 19 6 15 23 15 23 15 8,1,CcC1,0,0,,0,1,0,CN1CCCCCC(=O)C(c2ccccn2)CC1=O,True,True,1,True,,260.34,2.157,50.27,0.0,3.0,1.0,0.7771,3.2948,True,0.8963,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
441,O=C1CCC(CO)CCC(N)C(Cl)C1,24,0,25.0,,<eos>,eos,<bos> O = C 1 C C C ( C O ) C C C ( N ) C ( C l ) C 1 <eos> l <eos> c 1 1 <eos> <eos> <eos> C <eos> <eos> C <eos> <eos> <eos> O <eos> C <eos> c 1 c ( c C c O C C c ) C c C C c 1 <eos> <eos> 2 1 C c c 1 C ( O C ) ( C 1 ) C C 1 C C ( C ) C [ C 1 2 ] N 1 C <eos> <eos> O 1 n S 2 s = O s C S B = r s - # l 1 l 2,19 13 15 8 15 15 15 5 15 19 6 15 15 15 5 18 6 15 5 15 24 6 15 8,1,l)C1,0,0,,0,1,0,NC1CCC(CO)CCC(=O)CC1Cl,True,True,1,True,,219.71,1.063,63.32,2.0,3.0,1.0,0.6487,4.2429,True,0.8958,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
695,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,31,0,32.0,,<eos>,eos,<bos> N C ( = O ) N 1 c 2 c c c c c 2 C C ( = O ) c 2 c c c c c 2 1 <eos> <eos> c <eos> 1 C C 1 <eos> <eos> <eos> C 1 c c 1 <eos> <eos> 1 C O c C c = C c C C c 1 <eos> <eos> ( F c 1 C H = O ) C [ = C 1 C 2 C 1 C ] ( O ) C 1 C 1 = O 2 1 C <eos> <eos> O 1 # s 1 # = O o [ s B = C B ] C H r B <eos>,18 15 5 13 19 6 18 8 23 9 23 23 23 23 23 9 15 15 5 13 19 6 23 9 23 23 23 23 23 9 8,1,cc21,0,0,,0,1,0,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,True,True,1,False,,252.27,2.642,63.4,1.0,2.0,0.0,0.783,2.1583,True,0.8946,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
385,Cc1cccc(C)c1N1C(=O)c2cccc(N)c2C1=O,34,0,35.0,,<eos>,eos,<bos> C c 1 c c c c ( C ) c 1 N 1 C ( = O ) c 2 c c c c ( N ) c 2 C 1 = O <eos> O <eos> N <eos> c 2 C 1 = O 2 ( C O ) C 2 c H c 1 C 1 c c c 2 c C C 1 <eos> C <eos> O <eos> C O <eos> <eos> = C 1 C O 3 1 C C ( C O ) 1 C C = O O 1 C O # O 1 n F s o s = H c ( - c [ = H 1 H ) ] 3,15 23 8 23 23 23 23 5 15 6 23 8 18 8 15 5 13 19 6 23 9 23 23 23 23 5 18 6 23 9 15 8 13 19,O,C1=O,0,0,,0,1,0,Cc1cccc(C)c1N1C(=O)c2cccc(N)c2C1=O,True,False,2,False,,266.3,2.686,63.4,1.0,3.0,1.0,0.6373,2.1326,True,0.8942,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
125,Nc1ncc(N)c2ccccc2nc1,20,0,21.0,,<eos>,eos,<bos> N c 1 n c c ( N ) c 2 c c c c c 2 n c 1 <eos> <eos> <eos> C 1 C N c 1 <eos> <eos> <eos> <eos> <eos> 1 C C C 1 <eos> O <eos> 1 1 <eos> 1 c 2 c 2 C 1 <eos> C 1 c 1 <eos> c <eos> <eos> 1 c 2 1 1 2 C ( = C ) O O C O C 1 O C ( = O ) C O <eos> C 1 C C ( O 2 ) C 2 B O 1 <eos> <eos> s F # O 5 F c ( O n ) 2 C r 5 # S,18 23 8 25 23 23 5 18 6 23 9 23 23 23 23 23 9 25 23 8,1,2nc1,0,0,,0,1,0,NC1=CN=C(N)C=Nc2ccccc21,True,True,1,True,,186.22,1.017,76.76,2.0,4.0,0.0,0.6341,3.2614,True,0.8938,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
408,C=C(C)C(N)C(=O)N1CCCCNC1,24,0,25.0,,<eos>,eos,<bos> C = C ( C ) C ( N ) C ( = O ) N 1 C C C C N C 1 <eos> <eos> <eos> ( O ) <eos> C 1 c 2 1 C 1 1 C ( = O ) ( C C ( = O 2 ( C C O ) 2 ( O ) ( C 1 C H ) 2 C H O ) C ) H C ( O O ) C O - C 1 H F <eos> H <eos> 2 1 2 [ N ] C 2 S O 1 o r F C l O 5 ( S B n c H ) r n 5 l 2,15 13 15 5 15 6 15 5 18 6 15 5 13 19 6 18 8 15 15 15 15 18 15 8,1,CNC1,0,0,,0,1,0,C=C(C)C(N)C(=O)N1CCCCNC1,True,True,1,True,,197.28,0.059,58.36,2.0,3.0,2.0,0.6154,3.6591,True,0.8937,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
642,CCC(CCO)C(=O)NC(=O)N1CCC1CO,27,0,28.0,,<eos>,eos,<bos> C C C ( C C O ) C ( = O ) N C ( = O ) N 1 C C C 1 C O <eos> C <eos> C 1 # O C l 1 <eos> <eos> <eos> <eos> <eos> C c C 1 O 1 <eos> C C c 1 c c 2 C 2 ( c ) c c 2 C 1 C 1 c H ( O O ) C [ C 1 O O 3 C C C ( O O ) 1 C 1 O 1 H ] C O S O 1 s F o s = l s N H o 2 c H c r ( C 3 ),15 15 15 5 15 15 19 6 15 5 13 19 6 18 15 5 13 19 6 18 8 15 15 15 8 15 19,O,C1CO,0,0,,0,1,0,CCC(CCO)C(=O)NC(=O)N1CCC1CO,True,True,1,True,,244.29,-0.302,89.87,3.0,4.0,5.0,0.619,3.4225,True,0.8917,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
