sample_index,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,raw_tokens,effective_token_ids,last_non_special_token,ending_motif,parenthesis_balance,bracket_balance,unmatched_ring_digits,unmatched_ring_count,max_parenthesis_depth,max_bracket_depth,canonical_smiles,is_valid_rdkit,is_unique_among_valid,valid_occurrences,is_novel_vs_reference,invalid_reason,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,qed_score,sa_score,passes_lipinski,clinical_score,scorer_recommendation,is_novel_scorer_flag,filter_status,filter_reason,research_status,validation_status
534,NCC[CH](CNC(=O)N1C(=O)N1C)C1CCC1,32,0,33.0,,<eos>,eos,<bos> N C C [ C H ] ( C N C ( = O ) N 1 C ( = O ) N 1 C ) C 1 C C C 1 <eos> C <eos> C <eos> C <eos> <eos> O ( O ) <eos> c 2 ( [ C c C ) c ] ( C ) C C ( [ C ) ] C H c C O ( C ) C C ( = O [ C ) C ] 1 ( C ) 1 C 2 1 2 [ N ] 1 2 <eos> O 1 r N H s - l N ( S B ) r s H # B n 1 l,18 15 15 21 15 17 22 5 15 18 15 5 13 19 6 18 8 15 5 13 19 6 18 8 15 6 15 8 15 15 15 8,1,CCC1,0,0,,0,2,1,CN1C(=O)N1C(=O)NCC(CCN)C1CCC1,True,True,1,True,,240.31,0.743,78.21,2.0,3.0,5.0,0.6958,3.6095,True,0.9224,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
140,NCCCC(N)C(=O)N1CCCCC1,21,0,22.0,,<eos>,eos,<bos> N C C C C ( N ) C ( = O ) N 1 C C C C C 1 <eos> C 1 C 1 <eos> <eos> <eos> C <eos> <eos> <eos> C <eos> <eos> <eos> C 1 = O = O C N ( C ( F ) c ( C c c C ) ) C 1 <eos> C c <eos> H C <eos> <eos> C O ( O ) ( C ( = O C 2 C [ C ) ) C 1 C ] 2 1 2 [ N ] C 2 <eos> O 1 l S N o 5 = O c N # - o 5 - # N 1 H S,18 15 15 15 15 5 18 6 15 5 13 19 6 18 8 15 15 15 15 15 8,1,CCC1,0,0,,0,1,0,NCCCC(N)C(=O)N1CCCCC1,True,True,1,False,,199.3,0.065,72.35,2.0,3.0,4.0,0.6725,2.4779,True,0.9191,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
199,COc1ccc(NS(=O)(=O)c2ccc(C)cc2)cc1,33,0,34.0,,<eos>,eos,<bos> C O c 1 c c c ( N S ( = O ) ( = O ) c 2 c c c ( C ) c c 2 ) c c 1 <eos> <eos> n 1 C C C 1 <eos> <eos> c C <eos> <eos> c c 1 c C 1 <eos> c c c <eos> c 1 c 1 <eos> c [ C c 1 c O ( C ) ( C O C O = C ) C ] H ( O ) C O C 1 = [ H ] 1 2 N O 1 r F = # o = O N # F l C s F H C r 2 #,15 19 23 8 23 23 23 5 18 20 5 13 19 6 5 13 19 6 23 9 23 23 23 5 15 6 23 23 9 6 23 23 8,1,)cc1,0,0,,0,2,0,COc1ccc(NS(=O)(=O)c2ccc(C)cc2)cc1,True,True,1,True,,277.34,2.804,55.4,1.0,3.0,4.0,0.9346,1.4569,True,0.9183,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
780,CCC(CO)C(=O)c1ccc(C)C(=O)OCc(Cl)c1Cl,36,0,37.0,,<eos>,eos,<bos> C C C ( C O ) C ( = O ) c 1 c c c ( C ) C ( = O ) O C c ( C l ) c 1 C l <eos> 1 O O ( c ) C c 1 <eos> O <eos> 2 c c c O c 2 c C <eos> O C c <eos> 2 C 1 c 1 c c C F C 1 C c c 2 C C C 1 <eos> C ( O C C [ C 1 2 ] 2 1 C O ) O 1 # r [ o n B c n H ( - N S 4 r ) 1 ] 4,15 15 15 5 15 19 6 15 5 13 19 6 23 8 23 23 23 5 15 6 15 5 13 19 6 19 15 23 5 15 24 6 23 8 15 24,l,c1Cl,0,0,,0,1,0,CCC(CO)C(=O)C1=CC=C(C)C(=O)OCC(Cl)=C1Cl,True,True,1,True,,319.18,2.693,63.6,1.0,4.0,4.0,0.8094,4.4006,True,0.9183,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
941,NC(=O)c1cc2c(-c3ccc(F)cc3)cnc2ns1,33,0,34.0,,<eos>,eos,<bos> N C ( = O ) c 1 c c 2 c ( - c 3 c c c ( F ) c c 3 ) c n c 2 n s 1 <eos> <eos> C <eos> C 1 c O C C 1 <eos> c <eos> 3 c C c C c c 1 c c C c 3 c 2 O c 1 C c 1 ( O C O ) O C O C 1 C C = O H N ( C ) C 1 C 1 = [ N ] C 2 <eos> O 1 n - [ C # O = r H C O n F l r = S 1 ],18 15 5 13 19 6 23 8 23 23 9 23 5 7 23 10 23 23 23 5 16 6 23 23 10 6 23 25 23 9 25 28 8,1,2ns1,0,0,,0,2,0,NC(=O)c1cc2c(-c3ccc(F)cc3)cnc-2ns1,True,True,1,True,,273.29,2.548,68.87,1.0,4.0,2.0,0.7797,2.5072,True,0.9142,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
239,O=C(C)NC(=O)CNCc1ccccc1,23,0,24.0,,<eos>,eos,<bos> O = C ( C ) N C ( = O ) C N C c 1 c c c c c 1 <eos> <eos> 1 C C c C 1 <eos> <eos> 1 1 <eos> <eos> <eos> <eos> <eos> <eos> <eos> N C <eos> c <eos> C 2 = c c C C [ C c c H ] C 2 <eos> C 1 C C ( c O ) C C O C O = O [ C C - C H ] C 1 <eos> C <eos> C 2 [ H ] 1 2 [ O 1 # s H ] 2 O 1 N O B c N ( F # r 1 ) 2,19 13 15 5 15 6 18 15 5 13 19 6 15 18 15 23 8 23 23 23 23 23 8,1,ccc1,0,0,,0,1,0,CC(=O)NC(=O)CNCc1ccccc1,True,True,1,True,,206.25,0.439,58.2,2.0,3.0,4.0,0.7511,1.7457,True,0.9127,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
85,O=C(O)(CC=CC1CCCCC1C1CS(=O)C1O),31,0,32.0,,<eos>,eos,<bos> O = C ( O ) ( C C = C C 1 C C C C C 1 C 1 C S ( = O ) C 1 O ) <eos> 2 c 1 1 c c 1 O C N C 1 ( c O O F O c C O C O ) C ( C 1 ) c C C [ C c 1 H ] C C C O C O 2 O C O 3 C ( C ) O C C C 2 1 1 [ H ] 1 2 S O 1 s r c B # o = - s 2 N 2 c H N l 3 H =,19 13 15 5 19 6 5 15 15 13 15 15 8 15 15 15 15 15 8 15 8 15 20 5 13 19 6 15 8 19 6,),C1O),0,0,,0,2,0,O=C(O)CC=CC1CCCCC1C1CS(=O)C1O,True,True,1,True,,272.37,1.521,74.6,2.0,3.0,4.0,0.7609,4.8104,True,0.9115,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
629,NCCCCC(N)C(=O)N1CCCC1,21,0,22.0,,<eos>,eos,<bos> N C C C C C ( N ) C ( = O ) N 1 C C C C 1 <eos> 1 C 1 C <eos> 1 C C 1 <eos> C 1 1 <eos> <eos> C 1 O O C O C ( C 2 ( C ) c C c C ) C c 1 C C C C C C c C C 1 C ( C ) O C C O C ( C C [ C H ] ( C ) C C [ C 1 2 H ] 1 2 ) O 1 # l c s # s 1 [ H N O ] - B r F 1 ( F,18 15 15 15 15 15 5 18 6 15 5 13 19 6 18 8 15 15 15 15 8,1,CCC1,0,0,,0,1,0,NCCCCC(N)C(=O)N1CCCC1,True,True,1,False,,199.3,0.065,72.35,2.0,3.0,5.0,0.6152,2.464,True,0.9111,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
712,CC(C(=O)O)c1ccc(CNC)CCC1=O,26,0,27.0,,<eos>,eos,<bos> C C ( C ( = O ) O ) c 1 c c c ( C N C ) C C C 1 = O <eos> c 1 1 <eos> <eos> <eos> C 1 l C 1 <eos> <eos> <eos> <eos> <eos> C ( H ( N C ) C ( O O ) N ( C C C ) 2 ) C 2 <eos> c c <eos> <eos> C O <eos> O <eos> ( C 1 C C 3 O C ) ( O ) C [ O C O ] O 1 C 1 N O 1 o ( N = C ) O 1 s - c C B o C B 3 r s,15 15 5 15 5 13 19 6 19 6 23 8 23 23 23 5 15 18 15 6 15 15 15 8 13 19,O,C1=O,0,0,,0,2,0,CNCC1=CC=C(C(C)C(=O)O)C(=O)CC1,True,True,1,True,,223.27,1.142,66.4,2.0,3.0,4.0,0.7498,3.6536,True,0.91,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
760,CCOc1cc2ccc1C(=O)C(OCC(C)=O)C1C2Cc1,35,0,36.0,,<eos>,eos,<bos> C C O c 1 c c 2 c c c 1 C ( = O ) C ( O C C ( C ) = O ) C 1 C 2 C c 1 <eos> <eos> <eos> C <eos> C O N C ( N ) C C C C <eos> c <eos> c <eos> c <eos> <eos> C c <eos> <eos> 3 O C 1 c H 2 1 [ C O C ] 2 1 C C 3 O ( C ( C ) C 1 C 1 O [ N 1 C ] ) O 1 o 5 [ o = l o n s # O r s F n = c ] 5,15 15 19 23 8 23 23 9 23 23 23 8 15 5 13 19 6 15 5 19 15 15 5 15 6 13 19 6 15 8 15 9 15 23 8,1,2Cc1,0,0,,0,2,0,CCOc1cc2ccc1C(=O)C(OCC(C)=O)C1CCC21,True,True,1,True,,288.34,2.749,52.6,0.0,4.0,5.0,0.8357,4.3497,True,0.9045,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
